stack,rec,layer,concept_set,concept,method,n_proteins,pos_domains,pos_residues,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,f1_se,f1_boot_mean,f1_bias,n_boot,boot_seed
pairformer,1,20,swissprot,turn,neuron,100,82,281,0.0262,0.01094,0.04507,0.14634,0.06849,0.25928,0.04444,0.0191,0.07436,0.01421,0.04442,2e-05,2000,0
pairformer,1,20,swissprot,turn,probe_raw,100,82,281,0.04867,0.02429,0.07862,0.26829,0.14773,0.40208,0.0824,0.04228,0.12731,0.02243,0.0821,0.0003,2000,0
pairformer,1,47,secondary,secondary_structure:helix,sae,250,3202,38043,0.65213,0.62742,0.67714,0.83385,0.81798,0.84978,0.73188,0.714,0.74978,0.00916,0.73172,0.00016,2000,0
pairformer,1,47,secondary,secondary_structure:helix,neuron,250,3202,38043,0.68851,0.66187,0.71441,0.80981,0.78833,0.83234,0.74425,0.7232,0.76368,0.01039,0.74418,7e-05,2000,0
pairformer,1,47,secondary,secondary_structure:helix,probe_raw,250,3202,38043,0.7451,0.7278,0.76303,0.98501,0.98021,0.98967,0.84842,0.8367,0.86018,0.00599,0.84833,9e-05,2000,0
pairformer,1,47,secondary,secondary_structure:strand,sae,250,3429,12259,0.37423,0.34518,0.40124,0.63925,0.6031,0.67303,0.47209,0.44355,0.49761,0.01328,0.47147,0.00061,2000,0
pairformer,1,47,secondary,secondary_structure:strand,neuron,250,3429,12259,0.35357,0.33386,0.37283,0.63925,0.59331,0.68275,0.45531,0.43203,0.47715,0.0112,0.45483,0.00048,2000,0
pairformer,1,47,secondary,secondary_structure:strand,probe_raw,250,3429,12259,0.89407,0.88406,0.90327,0.75766,0.73897,0.77547,0.82023,0.80777,0.83203,0.00629,0.82002,0.00021,2000,0
pairformer,1,47,secondary,secondary_structure:coil,sae,250,6561,48809,0.71774,0.69726,0.73723,0.69761,0.67982,0.71697,0.70753,0.6942,0.72123,0.00702,0.70773,-0.0002,2000,0
pairformer,1,47,secondary,secondary_structure:coil,neuron,250,6561,48809,0.73383,0.71516,0.75088,0.78631,0.7696,0.80246,0.75917,0.74724,0.7706,0.00589,0.75921,-5e-05,2000,0
pairformer,1,47,secondary,secondary_structure:coil,probe_raw,250,6561,48809,0.88026,0.87234,0.88794,0.92699,0.91922,0.93455,0.90302,0.89719,0.90884,0.00303,0.90311,-9e-05,2000,0
pairformer,1,47,swissprot,beta_strand,sae,100,365,2103,0.17617,0.10109,0.25516,0.31781,0.2313,0.41305,0.22669,0.14513,0.29607,0.03941,0.2238,0.00288,2000,0
pairformer,1,47,swissprot,beta_strand,neuron,100,365,2103,0.13957,0.07755,0.20506,0.49589,0.40062,0.5812,0.21783,0.13215,0.29738,0.04248,0.21458,0.00324,2000,0
pairformer,1,47,swissprot,beta_strand,probe_raw,100,365,2103,0.18942,0.11083,0.27026,0.69315,0.58006,0.80613,0.29754,0.18937,0.39429,0.05368,0.29502,0.00252,2000,0
pairformer,1,47,swissprot,binding_site:substrate,sae,100,50,83,0.05556,0.0,0.12195,0.06,0.0,0.13333,0.05769,0.0,0.11765,0.02996,0.05695,0.00074,2000,0
pairformer,1,47,swissprot,binding_site:substrate,neuron,100,50,83,0.13333,0.0,0.33333,0.04,0.0,0.10811,0.06154,0.0,0.15385,0.04062,0.06083,0.00071,2000,0
pairformer,1,47,swissprot,binding_site:substrate,probe_raw,100,50,83,0.02655,0.00525,0.05707,0.2,0.07143,0.32261,0.04688,0.0098,0.09598,0.0229,0.04635,0.00053,2000,0
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,sae,100,30,506,0.11792,0.07317,0.16197,0.8,0.64,0.94118,0.20555,0.13247,0.27135,0.03514,0.20407,0.00148,2000,0
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,neuron,100,30,506,0.06912,0.02174,0.13096,0.23333,0.09091,0.39396,0.10665,0.03614,0.18521,0.03879,0.10608,0.00057,2000,0
pairformer,1,47,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,100,30,506,0.27655,0.16745,0.37273,0.8,0.68571,0.91435,0.41102,0.27535,0.50733,0.05854,0.406,0.00502,2000,0
pairformer,1,47,swissprot,compositional_bias:low_complexity,sae,100,16,278,0.09953,0.03801,0.16153,0.5,0.3,0.71429,0.16601,0.06882,0.24848,0.04637,0.16204,0.00397,2000,0
pairformer,1,47,swissprot,compositional_bias:low_complexity,neuron,100,16,278,1.0,0.0,1.0,0.0625,0.0,0.22222,0.11765,0.0,0.36364,0.10947,0.11545,0.00219,2000,0
pairformer,1,47,swissprot,compositional_bias:low_complexity,probe_raw,100,16,278,0.13969,0.0725,0.20744,0.875,0.66667,1.0,0.24092,0.1339,0.33893,0.05319,0.23606,0.00486,2000,0
pairformer,1,47,swissprot,compositional_bias:polar_residues,sae,100,19,279,0.04976,0.01098,0.12238,0.57895,0.30769,0.8,0.09165,0.02127,0.20749,0.04826,0.09299,-0.00134,2000,0
pairformer,1,47,swissprot,compositional_bias:polar_residues,neuron,100,19,279,0.125,0.0,0.33333,0.10526,0.0,0.25,0.11429,0.0,0.25806,0.07038,0.11049,0.0038,2000,0
pairformer,1,47,swissprot,compositional_bias:polar_residues,probe_raw,100,19,279,0.09685,0.03015,0.17079,0.68421,0.375,0.88889,0.16968,0.05673,0.27918,0.05646,0.16686,0.00282,2000,0
pairformer,1,47,swissprot,disulfide_bond,sae,100,25,1179,0.28276,0.14911,0.55558,0.8,0.66667,0.92863,0.41783,0.25166,0.66188,0.11327,0.44245,-0.02462,2000,0
pairformer,1,47,swissprot,disulfide_bond,neuron,100,25,1179,0.4,0.0,1.0,0.08,0.0,0.22222,0.13333,0.0,0.32,0.08741,0.13167,0.00166,2000,0
pairformer,1,47,swissprot,disulfide_bond,probe_raw,100,25,1179,0.2677,0.13496,0.4699,0.72,0.46667,0.96,0.39029,0.21639,0.59215,0.09649,0.39542,-0.00514,2000,0
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,100,47,47,0.02289,0.01004,0.03827,0.40426,0.28571,0.525,0.04333,0.0195,0.07014,0.01305,0.04331,2e-05,2000,0
